Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000117,2629,Brent 025,46.4,24.93043962,55.217955,27.4,36.3,42.5,548.3530993150686,0,0,9.1,16.3,134.3,2.2,68.9,580,25.3,7.007702612190221,360,-1.598953577317158
E02000118,1059,Brent 026,45.3,17.44855967,63.20805,12.0,34.0,23,375.5225371900826,0,1,13.8,14.7,109.5,1.6,82.7,780,22.7,4.703259369359804,388,-2.276141658714632
E02000119,1367,Brent 027,47.2,28.71467639,58.563775,24.2,31.8,29.4,599.8194604904633,1,0,6.8,16.4,164.3,2.1,78.1,640,25.4,7.117142065909721,229,-1.3803730592617178
E02000120,2581,Brent 028,45.8,14.00233372,59.474345,20.8,32.2,16.3,164.77322916666665,1,0,3.5,12.7,108.0,3.1,35.8,915,13.0,4.943502824858757,1041,-0.9872767827521798
E02000121,992,Brent 029,52.2,14.79400749,61.489865,14.1,34.8,21.8,113.80478548895898,1,4,14.6,14.3,118.5,1.4,84.0,825,21.6,4.914912673533363,384,-2.235222999103471
E02000122,1158,Brent 030,38.1,21.19914347,64.08409,13.3,18.7,21.5,502.593829787234,0,0,3.8,14.1,99.8,3.8,41.8,1010,16.0,5.221381619744512,704,-1.6048025596359947
E02000123,3549,Brent 031,49.0,19.94177584,57.636875,23.6,38.7,26.4,197.3561391843972,1,2,10.0,14.0,139.0,2.3,60.2,640,22.5,5.9220850105751515,709,-1.6382275997090516
E02000124,2114,Brent 032,41.2,15.85040071,63.694595,14.3,25.9,17.2,198.1894895104895,3,0,3.4,11.2,105.9,3.3,35.2,1035,12.3,4.376475216365066,1195,-1.3553158715287414
E02000125,1968,Brent 033,42.9,15.09881423,64.334955,15.0,23.2,24.5,344.0835300546448,0,0,5.3,13.1,93.6,3,46.1,920,17.6,5.007868184763491,879,-1.4618777007474513
E02000126,2221,Brent 034,47.9,25.0,56.723885,32.7,38.5,42.1,263.5019475,0,0,5.1,17.2,143.8,2.3,66.9,615,22.4,7.844404238821401,359,-0.510729084521327
