Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,limiting_long-term_illness_disability,samhi_index.2011,population_cannot_speak_english
E02000705,Merton 017,18.9,30.2,402,20.30965392,14.4,-1.324475281464365,5.1
E02000706,Merton 018,24.0,42.8,351,18.81113619,15.2,-1.178729288989008,5.7
E02000707,Merton 019,22.2,41.6,267,22.70042194,13.6,-1.511837517855357,3.0
E02000708,Merton 020,13.4,39.2,587,13.88638413,12.0,-1.7447763933686,3.4
E02000709,Merton 021,16.6,31.0,546,16.55629139,13.9,-1.148754435329154,2.2
E02000710,Merton 022,24.0,38.3,405,16.71335201,17.8,-1.100226089553385,3.7
E02000711,Merton 023,22.0,45.6,430,17.76971895,15.5,-1.131352990884232,5.2
E02000712,Merton 024,24.1,45.7,448,17.32217573,17.0,-1.025490827760337,3.4
E02000713,Merton 025,21.8,29.9,459,14.3006263,13.8,-1.07425847552873,1.7
E02000714,Newham 001,18.5,47.3,382,21.80312787,12.5,-1.716236514334499,8.6
E02000715,Newham 002,22.9,59.0,187,31.23209169,15.5,-1.963511185452069,10.0
E02000716,Newham 003,21.0,45.9,274,24.18367347,14.2,-1.33931839744864,10.2
E02000717,Newham 004,21.6,53.8,231,27.44014733,14.7,-1.757641505504538,11.7
E02000718,Newham 005,23.6,54.8,143,29.77941176,15.5,-1.86644407497245,9.8
E02000719,Newham 006,17.3,38.7,380,21.9047619,13.1,-1.580725916849394,8.3
E02000720,Newham 007,18.9,42.8,289,25.25366404,13.6,-1.775228888769289,10.0
E02000721,Newham 008,21.3,51.8,307,26.44770959,13.8,-1.636904617065445,12.0
E02000722,Newham 009,16.3,44.8,546,19.18542337,12.6,-1.681355322212243,7.9
E02000723,Newham 010,19.2,50.3,276,27.7866242,14.7,-1.969540105352237,11.9
E02000724,Newham 011,21.5,61.6,263,31.33561644,14.7,-2.08793600298638,11.7
E02000725,Newham 012,14.3,41.6,689,16.8618267,11.9,-1.6360091505713,6.5
E02000726,Newham 013,13.6,46.5,659,18.28316611,11.3,-1.738296429114132,6.3
E02000727,Newham 014,19.4,54.4,213,28.96622313,13.5,-2.178195939703048,11.9
E02000728,Newham 015,18.1,50.3,238,25.57286893,13.8,-2.169963855379623,10.4
E02000729,Newham 016,20.6,45.9,335,23.13953488,14.3,-1.775127785511099,10.1
